img_id,object_0,object_1,anti_label,com_label
90001_0.jpg,car washer,car,inside,beside
90002_0.jpg,car washer,car,inside,beside
90003_0.jpg,headset,desk,above,beside
90004_0.jpg,mouse,keyboard,on,beside
90005_0.jpg,laptop,table,under,on
90006_0.jpg,dog,bicycle,on,beside
90007_0.jpg,dog,cage,beside,inside
90008_0.jpg,chair,table,on,under
90009_0.jpg,rice,bowl,beside,inside
90010_0.jpg,goldfish,fishtank,beside,inside
90011_0.jpg,apple,basket,beside,inside
90012_0.jpg,tissue,tissuebox,beside,inside
90013_0.jpg,lion,cage,beside,inside
90014_0.jpg,mailbox,house,inside,beside
90015_0.jpg,dog,tree,on,beside
90016_0.jpg,girl,chair,beside,on
90017_0.jpg,driver,bus,beside,inside
90018_0.jpg,desk,classroom,outside,inside
90019_0.jpg,cat,bed,on,beside
90020_0.jpg,cat,table,on,beside
90021_0.jpg,man,car,above,beside
90022_0.jpg,bird,car,inside,above
90023_0.jpg,fries,burger,inside,beside
90024_0.jpg,refrigerator,table,on,beside
90025_0.jpg,lamp,desk,beside,on
90026_0.jpg,boy,bed,beside,on
90027_0.jpg,girl,bed,beside,on
90028_0.jpg,man,bed,beside,on
90029_0.jpg,woman,bed,beside,on
90030_0.jpg,chessboard,table,under,on
90031_0.jpg,slipper,bed,on,beside
90032_0.jpg,cushion,sofa,beside,on
90033_0.jpg,slipper,sofa,on,beside
90034_0.jpg,shoe,sofa,on,beside
90035_0.jpg,boy,sofa,beside,on
90036_0.jpg,girl,sofa,beside,on
90037_0.jpg,man,sofa,beside,on
90038_0.jpg,woman,sofa,beside,on
90039_0.jpg,woman,chair,beside,on
90040_0.jpg,man,chair,beside,on
90041_0.jpg,boy,chair,beside,on
90042_0.jpg,dog,bed,on,beside
90043_0.jpg,pillow,bed,beside,on
90044_0.jpg,shoe,bed,on,beside
90045_0.jpg,banana,basket,beside,inside
90046_0.jpg,pear,basket,beside,inside
90047_0.jpg,grape,basket,beside,inside
90048_0.jpg,dog,cage,beside,inside
90049_0.jpg,dog,cage,beside,inside
90050_0.jpg,dog,cage,beside,inside
90051_0.jpg,cat ,cage,beside,inside
90052_0.jpg,cat ,cage,beside,inside
90053_0.jpg,cat ,cage,beside,inside
90054_0.jpg,cat ,cage,beside,inside
90055_0.jpg,book,desk,under,on
90056_0.jpg,pen,desk,under,on
90057_0.jpg,keyboard,desk,under,on
90058_0.jpg,monitor,desk,under,on
90059_0.jpg,cup,desk,under,on
90060_0.jpg,plate,desk,under,on
90061_0.jpg,bottle,desk,under,on
90062_0.jpg,shoes,desk,on,beside
90063_0.jpg,slippers,desk,on,beside
90064_0.jpg,bin,desk,on,beside
90065_0.jpg,cat,bicycle,on,beside
90066_0.jpg,monkey,bicycle,on,beside
90067_0.jpg,bear,bicycle,on,beside
90068_0.jpg,man,tree,on,beside
90069_0.jpg,girl,tree,on,beside
90070_0.jpg,boy,tree,on,beside
90071_0.jpg,woman,tree,on,beside
90072_0.jpg,bed,house,outside,inside
90073_0.jpg,TV,house,outside,inside
90074_0.jpg,car,house,inside,outside
90075_0.jpg,table,house,outside,inside
90076_0.jpg,sofa,house,outside,inside
90077_0.jpg,traffic light,house,inside,outside
90078_0.jpg,cup,basket,inside,beside
90079_0.jpg,clock,basket,inside,beside
90080_0.jpg,phone,basket,inside,beside
90081_0.jpg,watch,basket,inside,beside
90082_0.jpg,boy,car,above,inside
90083_0.jpg,woman,car,above,inside
90084_0.jpg,girl,car,above,inside
90085_0.jpg,man,table,on,beside
90086_0.jpg,woman,table,on,beside
90087_0.jpg,boy,table,on,beside
90088_0.jpg,girl,table,on,beside
90089_0.jpg,bicycle,bus,above,beside
90090_0.jpg,tree,house,on,beside
90091_0.jpg,dog,table,on,beside
90092_0.jpg,boy,table,under,beside
90093_0.jpg,man,table,under,beside
90094_0.jpg,girl,table,under,beside
90095_0.jpg,woman,table,under,beside
90096_0.jpg,burger,drink,under,beside
90097_0.jpg,burger,drink,on,beside
90098_0.jpg,boat,water,beside,above
90099_0.jpg,fan,bed,on,beside
90100_0.jpg,chair,bed,on,beside
