img_id,object_0,anti_label,com_label,attribute
material_614_2_0_ct.png,birdbath,metal,stone,material
material_605_0_1_ct.png,piling,tin,wood,material
material_127_3_0_ct.png,sink faucet,tin,metal,material
material_289_1_0_ct.png,drinking cup,wood,plastic,material
material_168_2_1_ct.png,water drain,bronze,metal,material
material_366_4_0_ct.png,double door,stone,wood,material
material_495_1_1_ct.png,thermos,bronze,metal,material
material_223_0_0_ct.png,crown,rubber,gold,material
material_275_4_1_ct.png,curio cabinet,glass,wood,material
material_339_3_0_ct.png,rooster,ceramic,metal,material
material_635_2_0_ct.png,bench slat,concrete,wood,material
material_405_0_1_ct.png,socket,wood,metal,material
material_666_2_1_ct.png,bath tub,stone,ceramic,material
material_154_2_1_ct.png,number,bronze,gold,material
material_0_3_1_ct.png,window,cotton,glass,material
material_152_0_1_ct.png,symbol,rubber,gold,material
material_524_3_1_ct.png,saw horse,cotton,wood,material
material_155_1_0_ct.png,head light,gold,glass,material
material_236_2_0_ct.png,pipeline,concrete,metal,material
material_526_3_0_ct.png,sweat band,denim,cotton,material
material_439_3_1_ct.png,trailer,concrete,metal,material
material_544_0_1_ct.png,bike tire,concrete,rubber,material
material_696_3_0_ct.png,letter key,iron,plastic,material
material_726_2_0_ct.png,bag apple,ceramic,plastic,material
material_72_3_0_ct.png,trashcan,tin,metal,material
material_636_0_1_ct.png,ducky,wood,rubber,material
material_489_3_1_ct.png,window shutter,stone,wood,material
material_158_1_1_ct.png,stripe,rubber,gold,material
material_507_0_1_ct.png,toilet brush,rubber,metal,material
material_673_3_0_ct.png,rain boot,bronze,rubber,material
material_73_0_0_ct.png,purse,cloth,leather,material
material_304_2_0_ct.png,pizza board,plastic,wood,material
material_615_2_1_ct.png,spray bottle,gold,plastic,material
material_308_3_0_ct.png,chest of drawer,stone,wood,material
material_331_0_0_ct.png,silo,cloth,concrete,material
material_488_0_1_ct.png,night table,iron,wood,material
material_528_3_1_ct.png,cheese grater,wood,metal,material
material_241_1_0_ct.png,numeral,cotton,gold,material
material_291_3_0_ct.png,medallion,wood,gold,material
material_90_0_0_ct.png,easel,cloth,wood,material
material_433_3_0_ct.png,bathtub,bronze,ceramic,material
material_526_0_0_ct.png,sweat band,denim,cotton,material
material_636_3_0_ct.png,ducky,wood,rubber,material
material_208_1_0_ct.png,oar,stone,wood,material
material_346_3_1_ct.png,cockpit,iron,glass,material
